5_1_F,5_1_D,7_1_F,7_1_D,8_1_F,8_1_D,10_1_F,10_1_D,9_1_F,9_1_D,9_2_F,9_2_D,24_1_F,24_1_D,1_1_F,1_1_D,1_2_F,1_2_D,2_1_F,2_1_D,20_1_F,20_1_D,19_1_F,19_1_D
1.170794,0.06125,1.562754,0.06175,1.530329,0.061875,1.631101,0.061375,1.79704,0.06175,1.825015,0.061125,1.727104,0.06125,1.052539,0.062,1.308759,0.061125,0.5311966,0.061625,0.7257462,0.061875,0.6952286,0.0615
1.180649,0.06550001,1.587232,0.064625,1.554171,0.0645,1.655897,0.06437501,1.805941,0.06475,1.84377,0.06500001,1.733462,0.065625,1.061122,0.06487501,1.324654,0.065375,0.5378723,0.06550001,0.743866,0.06525,0.7088979,0.06575
1.192729,0.06837501,1.612981,0.06825,1.573563,0.06900001,1.680056,0.06900001,1.813571,0.06900001,1.859665,0.069125,1.740138,0.069375,1.067479,0.06900001,1.335144,0.06962501,0.5432765,0.07012501,0.7600784,0.06962501,0.7190704,0.06962501
1.204491,0.0715,1.638412,0.07275,1.591682,0.07300001,1.702309,0.07275,1.817703,0.07300001,1.872381,0.07250001,1.747767,0.072625,1.074791,0.07325,1.343727,0.07250001,0.5493164,0.07275,0.7727941,0.072875,0.7282893,0.07250001
1.214027,0.07600001,1.663526,0.07625,1.612345,0.07625,1.723925,0.076125,1.826286,0.076375,1.880646,0.07587501,1.754761,0.07625,1.085599,0.076625,1.3539,0.076125,0.5578995,0.076375,0.7861455,0.07625,0.7375081,0.07650001
1.223246,0.080375,1.689911,0.079625,1.633962,0.079625,1.742999,0.07937501,1.840909,0.0795,1.883507,0.07975,1.761119,0.080375,1.098633,0.080125,1.363436,0.08050001,0.565211,0.081,0.8010864,0.08062501,0.7445018,0.08062501
1.235962,0.08325,1.717567,0.08337501,1.650174,0.08400001,1.755714,0.084125,1.853625,0.08425,1.884143,0.084125,1.766205,0.084125,1.110077,0.08425,1.371066,0.08462501,0.5677541,0.084875,0.8122126,0.084375,0.7502238,0.084375
1.250903,0.08687501,1.744906,0.087875,1.660347,0.08800001,1.763344,0.087875,1.86189,0.08812501,1.889229,0.08750001,1.771291,0.087625,1.117388,0.0885,1.381238,0.08737501,0.5722046,0.08775,0.8182526,0.08825,0.7568995,0.08737501
1.264254,0.09125,1.770655,0.091375,1.668612,0.09150001,1.768748,0.09125,1.871109,0.09150001,1.900037,0.091125,1.776377,0.09162501,1.121839,0.091875,1.395543,0.09162501,0.5814235,0.091875,0.8246104,0.091375,0.7658005,0.09200001
1.276334,0.09575,1.795769,0.095125,1.675606,0.09500001,1.774788,0.09500001,1.881281,0.095125,1.911163,0.095375,1.783053,0.09575,1.128197,0.09562501,1.407941,0.09612501,0.5893707,0.09662501,0.8319219,0.096375,0.7766088,0.096
1.289686,0.098875,1.820564,0.09900001,1.681328,0.09962501,1.780192,0.09975,1.887957,0.099875,1.922607,0.09962501,1.791636,0.09962501,1.138369,0.1,1.416842,0.099875,0.5941391,0.100375,0.8360545,0.099875,0.7886887,0.09975
1.30558,0.102625,1.842817,0.1035,1.686414,0.1035,1.783053,0.103375,1.893044,0.10375,1.936595,0.103,1.800537,0.103,1.14886,0.104,1.428604,0.103,0.5995433,0.10325,0.8370082,0.10375,0.8014043,0.103125
1.320839,0.107125,1.866023,0.107125,1.691818,0.10725,1.786868,0.107,1.899401,0.10725,1.951218,0.107125,1.808802,0.107625,1.16094,0.107375,1.442909,0.107625,0.6043116,0.108125,0.8357366,0.107625,0.8118947,0.107875
1.331965,0.1115,1.891136,0.111125,1.698176,0.111,1.794815,0.111125,1.907349,0.111125,1.962662,0.111375,1.818021,0.111625,1.174609,0.11175,1.451174,0.112125,0.6068547,0.112625,0.8325577,0.112125,0.8201599,0.111875
1.34182,0.11475,1.914978,0.115125,1.704534,0.115375,1.802762,0.115625,1.916567,0.116125,1.972198,0.115625,1.830419,0.1155,1.186371,0.116,1.454989,0.115625,0.60908,0.116125,0.8290609,0.116,0.8300145,0.1155
1.352628,0.118625,1.936277,0.119625,1.710256,0.119625,1.808484,0.119375,1.926104,0.119625,1.982689,0.119125,1.842499,0.119125,1.196226,0.12,1.461029,0.119125,0.6148021,0.119375,0.8255641,0.119875,0.8430481,0.119375
1.363119,0.123125,1.957258,0.12325,1.715978,0.123375,1.81516,0.123125,1.934687,0.123375,1.995722,0.123375,1.848857,0.12375,1.204809,0.123625,1.466115,0.12425,0.6202062,0.124625,0.8230209,0.124125,0.8538564,0.12425
